user_id,home_country,avg_txn_amount,preferred_channel,account_age_days
U100000,GB,39.89,CARD_NOT_PRESENT,1800
U100001,IN,202.62,CARD_NOT_PRESENT,1420
U100002,SG,63.01,CARD_NOT_PRESENT,748
U100003,US,12.87,CARD_PRESENT,1331
U100004,IN,71.01,CARD_PRESENT,1342
U100005,RU,103.36,CARD_PRESENT,2378
U100006,GB,110.47,UPI_WALLET,943
U100007,AE,37.84,CARD_PRESENT,806
U100008,IN,89.77,UPI_WALLET,1874
U100009,IN,147.54,UPI_WALLET,1588
U100010,IN,28.08,CARD_NOT_PRESENT,1068
U100011,NG,39.36,CARD_PRESENT,1
U100012,US,112.5,CARD_NOT_PRESENT,1762
U100013,AE,115.81,CARD_PRESENT,1842
U100014,IN,186.46,WIRE_TRANSFER,2325
U100015,IN,93.26,UPI_WALLET,1256
U100016,US,96.28,UPI_WALLET,1288
U100017,IN,47.3,CARD_NOT_PRESENT,521
U100018,AE,190.32,UPI_WALLET,1149
U100019,US,197.8,UPI_WALLET,4
U100020,GB,85.64,CARD_PRESENT,1252
U100021,IN,51.76,CARD_PRESENT,1767
U100022,RU,85.0,CARD_PRESENT,1964
U100023,SG,90.61,CARD_NOT_PRESENT,1657
U100024,GB,50.41,UPI_WALLET,2013
U100025,IN,55.96,CARD_NOT_PRESENT,1663
U100026,IN,197.97,CARD_NOT_PRESENT,1949
U100027,IN,124.96,WIRE_TRANSFER,1094
U100028,IN,75.12,CARD_PRESENT,1505
U100029,US,41.48,CARD_PRESENT,1598
U100030,GB,56.44,WIRE_TRANSFER,1431
U100031,RU,24.87,WIRE_TRANSFER,1428
U100032,IN,104.26,UPI_WALLET,1954
U100033,IN,54.25,CARD_PRESENT,597
U100034,IN,109.73,WIRE_TRANSFER,792
U100035,IN,143.58,UPI_WALLET,1297
U100036,IN,110.78,UPI_WALLET,1613
U100037,IN,68.88,CARD_PRESENT,1286
U100038,IN,48.55,CARD_NOT_PRESENT,499
U100039,US,37.11,UPI_WALLET,2059
U100040,IN,186.14,UPI_WALLET,1364
U100041,AE,107.66,CARD_NOT_PRESENT,1084
U100042,GB,71.61,CARD_NOT_PRESENT,2195
U100043,IN,131.71,UPI_WALLET,1090
U100044,AE,167.81,CARD_NOT_PRESENT,404
U100045,AE,55.06,CARD_NOT_PRESENT,2461
U100046,IN,105.55,CARD_PRESENT,957
U100047,IN,106.95,CARD_PRESENT,2236
U100048,US,211.14,UPI_WALLET,1292
U100049,IN,70.93,CARD_PRESENT,606
U100050,IN,47.29,CARD_PRESENT,942
U100051,IN,113.25,WIRE_TRANSFER,2275
U100052,AE,138.71,UPI_WALLET,2361
U100053,US,99.96,CARD_PRESENT,345
U100054,GB,220.09,CARD_PRESENT,2467
U100055,AE,70.77,UPI_WALLET,2133
U100056,IN,101.59,CARD_NOT_PRESENT,1619
U100057,US,30.15,CARD_NOT_PRESENT,459
U100058,IN,45.4,CARD_NOT_PRESENT,1466
U100059,IN,55.31,CARD_PRESENT,1064
U100060,US,79.04,UPI_WALLET,312
U100061,IN,33.97,CARD_PRESENT,2459
U100062,US,130.53,CARD_NOT_PRESENT,1508
U100063,GB,51.86,CARD_PRESENT,243
U100064,US,309.68,CARD_PRESENT,854
U100065,US,53.18,CARD_PRESENT,2099
U100066,US,94.8,UPI_WALLET,1106
U100067,IN,87.09,CARD_PRESENT,1237
U100068,IN,42.63,CARD_PRESENT,357
U100069,IN,79.24,CARD_PRESENT,278
U100070,IN,78.58,UPI_WALLET,2444
U100071,IN,156.41,CARD_NOT_PRESENT,2381
U100072,SG,116.0,WIRE_TRANSFER,239
U100073,IN,129.31,UPI_WALLET,1373
U100074,IN,154.27,CARD_NOT_PRESENT,1702
U100075,IN,130.64,UPI_WALLET,2201
U100076,IN,104.98,CARD_PRESENT,1399
U100077,US,54.95,WIRE_TRANSFER,2172
U100078,US,100.66,WIRE_TRANSFER,303
U100079,AE,47.84,CARD_PRESENT,37
U100080,US,83.35,CARD_NOT_PRESENT,1162
U100081,IN,76.21,CARD_PRESENT,662
U100082,AE,79.53,CARD_NOT_PRESENT,1888
U100083,IN,34.23,UPI_WALLET,842
U100084,IN,9.01,WIRE_TRANSFER,1018
U100085,IN,66.95,CARD_PRESENT,1337
U100086,GB,177.16,UPI_WALLET,2403
U100087,IN,93.88,UPI_WALLET,180
U100088,IN,169.21,CARD_PRESENT,1381
U100089,IN,48.07,CARD_NOT_PRESENT,973
U100090,IN,64.68,UPI_WALLET,90
U100091,US,321.1,UPI_WALLET,2036
U100092,IN,50.18,WIRE_TRANSFER,2285
U100093,IN,127.71,CARD_PRESENT,433
U100094,IN,127.58,CARD_PRESENT,1899
U100095,US,118.78,CARD_PRESENT,1753
U100096,IN,128.74,CARD_PRESENT,1763
U100097,IN,49.67,CARD_NOT_PRESENT,1151
U100098,IN,69.18,UPI_WALLET,801
U100099,RU,10.79,CARD_NOT_PRESENT,177
U100100,SG,215.53,UPI_WALLET,88
U100101,US,128.25,CARD_NOT_PRESENT,444
U100102,IN,55.35,CARD_PRESENT,1320
U100103,RU,48.45,UPI_WALLET,353
U100104,GB,179.08,UPI_WALLET,1716
U100105,GB,52.63,CARD_NOT_PRESENT,1549
U100106,IN,55.23,WIRE_TRANSFER,862
U100107,IN,41.3,CARD_NOT_PRESENT,219
U100108,IN,143.79,CARD_PRESENT,1294
U100109,SG,167.66,CARD_NOT_PRESENT,2057
U100110,IN,76.53,UPI_WALLET,984
U100111,IN,168.34,CARD_NOT_PRESENT,2016
U100112,IN,112.39,UPI_WALLET,716
U100113,US,39.47,CARD_NOT_PRESENT,201
U100114,IN,205.93,CARD_NOT_PRESENT,1625
U100115,SG,40.98,UPI_WALLET,2220
U100116,GB,80.33,CARD_NOT_PRESENT,2209
U100117,GB,76.68,CARD_NOT_PRESENT,2397
U100118,IN,67.7,CARD_PRESENT,270
U100119,US,19.04,CARD_NOT_PRESENT,109
U100120,US,280.96,CARD_NOT_PRESENT,1424
U100121,US,21.15,CARD_PRESENT,2375
U100122,IN,213.91,CARD_NOT_PRESENT,2494
U100123,IN,47.26,CARD_PRESENT,699
U100124,IN,59.07,CARD_PRESENT,938
U100125,IN,201.06,CARD_NOT_PRESENT,1662
U100126,IN,120.27,CARD_PRESENT,2284
U100127,IN,30.95,CARD_NOT_PRESENT,437
U100128,IN,30.46,UPI_WALLET,2439
U100129,US,109.12,CARD_PRESENT,2043
U100130,IN,40.45,CARD_PRESENT,171
U100131,NG,123.93,CARD_NOT_PRESENT,2104
U100132,US,132.12,CARD_PRESENT,1604
U100133,IN,50.97,CARD_NOT_PRESENT,2445
U100134,US,61.34,UPI_WALLET,524
U100135,IN,111.44,CARD_NOT_PRESENT,2481
U100136,RU,49.36,CARD_NOT_PRESENT,119
U100137,IN,93.97,WIRE_TRANSFER,190
U100138,AE,333.04,CARD_PRESENT,1119
U100139,IN,114.91,UPI_WALLET,1645
U100140,IN,68.37,UPI_WALLET,418
U100141,IN,298.62,CARD_NOT_PRESENT,683
U100142,NG,150.35,CARD_PRESENT,975
U100143,US,41.18,CARD_PRESENT,314
U100144,IN,47.09,WIRE_TRANSFER,440
U100145,IN,23.15,CARD_PRESENT,372
U100146,IN,110.13,UPI_WALLET,2385
U100147,IN,16.45,CARD_NOT_PRESENT,2341
U100148,IN,298.39,CARD_NOT_PRESENT,1571
U100149,IN,74.15,CARD_NOT_PRESENT,1709
U100150,AE,156.25,CARD_PRESENT,343
U100151,SG,69.6,CARD_NOT_PRESENT,127
U100152,IN,108.87,WIRE_TRANSFER,943
U100153,US,81.08,CARD_PRESENT,2460
U100154,IN,92.18,WIRE_TRANSFER,1195
U100155,US,187.47,WIRE_TRANSFER,2019
U100156,IN,245.22,CARD_PRESENT,925
U100157,US,233.51,CARD_NOT_PRESENT,773
U100158,GB,493.3,CARD_PRESENT,2030
U100159,GB,53.35,CARD_NOT_PRESENT,1177
U100160,IN,115.87,WIRE_TRANSFER,1830
U100161,NG,54.24,UPI_WALLET,1816
U100162,IN,182.66,WIRE_TRANSFER,1817
U100163,IN,42.69,CARD_PRESENT,1690
U100164,US,189.52,CARD_NOT_PRESENT,2023
U100165,IN,102.2,CARD_PRESENT,1158
U100166,AE,84.25,UPI_WALLET,758
U100167,AE,90.93,CARD_PRESENT,1281
U100168,IN,37.2,CARD_PRESENT,812
U100169,RU,39.62,CARD_PRESENT,108
U100170,IN,103.41,CARD_PRESENT,905
U100171,IN,102.95,CARD_PRESENT,1252
U100172,IN,56.03,CARD_PRESENT,1301
U100173,NG,73.59,UPI_WALLET,851
U100174,IN,122.29,UPI_WALLET,1813
U100175,IN,49.17,CARD_PRESENT,713
U100176,IN,21.06,UPI_WALLET,1619
U100177,BR,220.37,CARD_NOT_PRESENT,674
U100178,SG,108.25,UPI_WALLET,2466
U100179,GB,63.45,CARD_PRESENT,1622
U100180,SG,54.12,CARD_NOT_PRESENT,1392
U100181,SG,48.82,CARD_NOT_PRESENT,1073
U100182,IN,182.2,CARD_PRESENT,1890
U100183,IN,32.58,CARD_NOT_PRESENT,1065
U100184,GB,115.67,UPI_WALLET,2008
U100185,US,115.61,UPI_WALLET,398
U100186,IN,145.46,CARD_NOT_PRESENT,2050
U100187,IN,67.82,CARD_NOT_PRESENT,2404
U100188,GB,208.76,UPI_WALLET,607
U100189,IN,148.22,CARD_PRESENT,560
U100190,NG,66.21,CARD_PRESENT,2387
U100191,IN,52.3,CARD_NOT_PRESENT,1015
U100192,IN,81.24,CARD_PRESENT,1738
U100193,AE,64.66,CARD_NOT_PRESENT,476
U100194,IN,46.23,CARD_PRESENT,1069
U100195,IN,93.68,CARD_NOT_PRESENT,1758
U100196,US,73.93,UPI_WALLET,2237
U100197,SG,240.11,UPI_WALLET,1090
U100198,IN,64.58,UPI_WALLET,188
U100199,IN,51.96,CARD_NOT_PRESENT,1034
U100200,GB,89.63,WIRE_TRANSFER,1607
U100201,RU,105.99,UPI_WALLET,2187
U100202,IN,111.42,CARD_NOT_PRESENT,2084
U100203,IN,110.7,CARD_PRESENT,1898
U100204,IN,91.7,CARD_NOT_PRESENT,414
U100205,IN,87.25,CARD_NOT_PRESENT,1300
U100206,IN,132.61,UPI_WALLET,1440
U100207,US,43.17,UPI_WALLET,1172
U100208,IN,52.23,WIRE_TRANSFER,2307
U100209,IN,26.52,WIRE_TRANSFER,2399
U100210,US,43.7,CARD_NOT_PRESENT,526
U100211,US,171.03,WIRE_TRANSFER,2391
U100212,IN,129.02,WIRE_TRANSFER,2116
U100213,AE,260.11,CARD_PRESENT,1762
U100214,GB,222.38,CARD_NOT_PRESENT,954
U100215,GB,129.73,CARD_PRESENT,1900
U100216,IN,98.67,CARD_PRESENT,1465
U100217,IN,90.8,CARD_PRESENT,2247
U100218,NG,15.67,CARD_NOT_PRESENT,1778
U100219,IN,84.11,CARD_PRESENT,2410
U100220,IN,59.05,CARD_PRESENT,1048
U100221,IN,45.16,CARD_PRESENT,206
U100222,US,116.6,UPI_WALLET,1230
U100223,RU,77.31,UPI_WALLET,2493
